Data;14093 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Norte - Total - R$ (milhões);14094 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Total - R$ (milhões);14095 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Total - R$ (milhões);14096 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Sudeste - Total - R$ (milhões);14097 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Sul - Total - R$ (milhões)
11/2011;74.515 ;250.932 ;173.239 ;1.064.546 ;348.253
12/2011;76.182 ;259.952 ;178.554 ;1.086.588 ;355.551
01/2012;76.076 ;257.766 ;178.416 ;1.088.861 ;359.557
02/2012;76.479 ;258.687 ;179.334 ;1.093.676 ;361.351
03/2012;77.202 ;262.824 ;182.687 ;1.113.299 ;368.336
04/2012;78.094 ;266.481 ;185.773 ;1.125.400 ;373.541
05/2012;79.403 ;271.416 ;190.582 ;1.142.026 ;379.073
06/2012;80.895 ;274.703 ;193.747 ;1.158.113 ;383.723
07/2012;82.001 ;277.308 ;195.682 ;1.168.606 ;385.458
08/2012;83.393 ;281.282 ;198.879 ;1.180.254 ;392.102
09/2012;84.636 ;282.621 ;200.838 ;1.192.680 ;397.297
10/2012;85.859 ;285.586 ;204.568 ;1.209.504 ;403.270
11/2012;86.875 ;293.225 ;208.406 ;1.224.992 ;408.318
12/2012;90.004 ;300.456 ;212.608 ;1.254.446 ;416.599
01/2013;89.828 ;301.008 ;216.031 ;1.251.070 ;417.028
02/2013;90.006 ;302.820 ;217.455 ;1.259.333 ;422.704
03/2013;90.457 ;306.477 ;220.627 ;1.279.785 ;429.803
04/2013;91.713 ;310.852 ;223.445 ;1.290.752 ;434.253
05/2013;93.416 ;318.852 ;227.985 ;1.306.390 ;440.150
06/2013;95.036 ;324.099 ;234.921 ;1.327.495 ;447.220
07/2013;95.784 ;327.451 ;236.760 ;1.334.362 ;448.099
08/2013;97.457 ;331.689 ;242.833 ;1.349.247 ;454.807
09/2013;99.225 ;334.358 ;245.608 ;1.361.255 ;459.030
10/2013;100.576 ;337.086 ;248.238 ;1.367.612 ;463.714
11/2013;101.526 ;344.465 ;253.141 ;1.388.776 ;471.375
12/2013;103.334 ;353.203 ;261.659 ;1.420.600 ;483.334
01/2014;103.289 ;353.856 ;263.510 ;1.421.951 ;483.628
02/2014;103.989 ;355.407 ;264.842 ;1.433.550 ;486.912
03/2014;104.226 ;344.326 ;267.855 ;1.458.749 ;491.003
04/2014;105.234 ;348.524 ;273.319 ;1.474.187 ;495.380
05/2014;106.195 ;353.131 ;277.257 ;1.489.862 ;499.434
