Number of headquarters of authorized financial institutions,Number of branches of financial institutions,Number of banking service outposts of financial institutions,Number of electronic service outposts of financial institutions,Number of correspondents of financial institutions ,Number of ATMs of financial institutions,Number of POSs of financial institutions,Number of authorized credit unions ,Number of credit unions banking service outposts,Number of credit unions electronic service outposts,Number of credit unions correspondents,Number of branches of finance companies,Number of banking services outpost of finance companies,Number of electronic service outposts of finance companies,"Number of microentrepreneur, and small business credit companies correspondents",Adults with a banking relationship (million),Date,Região,Total invesment activity,Number Fintechs Brazil,Área,População
0.043571742994546935,0.5782088056843931,0.34562990726755477,1.2005781617010973,7.092773190706924,5.787387322883808,99.35417255964677,0.038861284292433754,0.0529926603987733,0.0005888073377641478,0.032384403577028126,0.0011776146755282956,,0.641211190825157,0.008832110066462217,8.0,2013,North,32207.761375698883,0.022963486172801764,3870000.0,16983484.0
0.03946369534445045,0.5884733394010699,0.37026231808469684,1.2222138587560682,6.292138013596055,6.00312448004405,120.8453796746996,0.034820907656868044,0.0713828606965795,0.0011606969218956014,0.03366021073497244,0.0011606969218956014,,0.5896340363229655,0.009285575375164811,8.0,2014,North,80436.29668736517,0.036561953039711444,3870000.0,17231027.0
0.03262243888100227,0.5992226931299891,0.4029157363548351,1.2224829728038746,6.131873862650147,5.995088548745593,129.35769966248938,0.028043850967879147,0.08584852337105861,0.0011446469782807815,0.03491173283756383,0.0011446469782807815,,0.5528644905096174,0.010301822804527032,9.0,2015,North,42752.56463878719,0.042924261685529305,3870000.0,17472636.0
0.029930341929308713,0.6161132649976567,0.4489551289396307,1.340653429059979,5.4574872529214975,5.807615781151147,122.85275915115969,0.02541255446828098,0.10390911160363779,0.0011294468652569326,0.034448129390336445,0.0011294468652569326,,0.6223252227565698,0.011294468652569325,9.0,2016,North,207818.2232072756,0.058166513560732026,3870000.0,17707783.0
0.029549178223415316,0.6244354643438708,0.4989908398105039,1.4757863161769875,5.434818666450047,5.63274240738047,129.55419043308,0.02508892490667338,0.11429399124151207,0.0011150633291854837,0.037354621527713704,0.0011150633291854837,,0.6406038826170604,0.009478038298076611,9.0,2017,North,91212.18032737255,0.06690379975112902,3870000.0,17936201.0
0.028049329200292177,0.6148852950181697,0.49883807028754906,1.4030164468616733,5.500418457492589,5.552667207963721,219.23465700317777,0.023649434423775754,0.12099710635420154,0.0016499605411936574,0.04894882938874517,0.0010999736941291049,,0.6709839534187539,0.0,10.0,2018,North,312117.5357091335,0.03629913190626046,3870000.0,18182253.0
0.023872848866419473,0.6038745633710199,0.5056703441705216,1.3764867630478683,5.0746080783550305,5.386582807859376,161.70382692618622,0.019532330890706842,0.13726888098191198,0.0016276942408922368,0.048830827226767105,0.001085129493928158,,0.7525373040391775,0.0,10.0,2019,North,467093.9906613756,0.014649248168030132,3870000.0,18430980.0
,,,,,,,,,,,,,,,,2020,North,,,3870000.0,
0.11723924465966001,0.7293045621600373,0.17178098021871924,0.7058567132281053,6.223874683888908,,,0.09009581084171699,0.06817716944882403,0.004842490540290305,0.0008920377311061089,0.006116830156156175,,1.3207255778833873,0.008920377311061089,41.0,2005,Southeast,,,924511.0,78472017.0
0.11676561264019808,0.8482789232601688,0.20877037954291605,0.7362895143662866,7.279688646819152,6.321808416538259,,0.08911390674047409,0.075790812079698,0.005027582890858905,0.0022624123008865072,0.008421201342188666,,1.4130021714758954,0.05115565591448936,43.0,2006,Southeast,,,924511.0,79561095.0
